station,name,municipality,Display Name
VIDP,Indira Gandhi International Airport,New Delhi,"Indira Gandhi International Airport, New Delhi"
VABB,Chhatrapati Shivaji International Airport,Mumbai,"Chhatrapati Shivaji International Airport, Mumbai"
VOBL,Kempegowda International Airport,Bangalore,"Kempegowda International Airport, Bangalore"
VOHS,Rajiv Gandhi International Airport,Hyderabad,"Rajiv Gandhi International Airport, Hyderabad"
VOMM,Chennai International Airport,Chennai,"Chennai International Airport, Chennai"
VECC,Netaji Subhash Chandra Bose International Airport,Kolkata,"Netaji Subhash Chandra Bose International Airport, Kolkata"
VAAH,Sardar Vallabhbhai Patel International Airport,Ahmedabad,"Sardar Vallabhbhai Patel International Airport, Ahmedabad"
VOCI,Cochin International Airport,Kochi,"Cochin International Airport, Kochi"
VAGO,Dabolim Airport,Vasco da Gama,"Dabolim Airport, Vasco da Gama"
VAPO,Pune Airport / Lohagaon Air Force Station,Pune,"Pune Airport / Lohagaon Air Force Station, Pune"
VILK,Chaudhary Charan Singh International Airport,Lucknow,"Chaudhary Charan Singh International Airport, Lucknow"
VEGT,Lokpriya Gopinath Bordoloi International Airport,Guwahati,"Lokpriya Gopinath Bordoloi International Airport, Guwahati"
VIJP,Jaipur International Airport,Jaipur,"Jaipur International Airport, Jaipur"
VISR,Sheikh ul Alam International Airport,Srinagar,"Sheikh ul Alam International Airport, Srinagar"
VEPT,Jay Prakash Narayan Airport,Patna,"Jay Prakash Narayan Airport, Patna"
VICG,Chandigarh International Airport,Chandigarh,"Chandigarh International Airport, Chandigarh"
VEBS,Biju Patnaik Airport,Bhubaneswar,"Biju Patnaik Airport, Bhubaneswar"
VOTV,Trivandrum International Airport,Thiruvananthapuram,"Trivandrum International Airport, Thiruvananthapuram"
VOCL,Calicut International Airport,Calicut,"Calicut International Airport, Calicut"
VEBD,Bagdogra Airport,Siliguri,"Bagdogra Airport, Siliguri"
